"","date","max_temperature","avg_hourly_temperature","avg_temperature","min_temperature","max_humidex","min_windchill","max_relative_humidity","avg_hourly_relative_humidity","avg_relative_humidity","min_relative_humidity","max_dew_point","avg_hourly_dew_point","avg_dew_point","min_dew_point","max_wind_speed","avg_hourly_wind_speed","avg_wind_speed","min_wind_speed","max_wind_gust","wind_gust_dir_10s","max_pressure_sea","avg_hourly_pressure_sea","avg_pressure_sea","min_pressure_sea","max_pressure_station","avg_hourly_pressure_station","avg_pressure_station","min_pressure_station","max_visibility","avg_hourly_visibility","avg_visibility","min_visibility","max_health_index","avg_hourly_health_index","avg_health_index","min_health_index","heatdegdays","cooldegdays","growdegdays_5","growdegdays_7","growdegdays_10","precipitation","rain","snow","snow_on_ground","sunrise","sunset","daylight","sunrise_f","sunset_f","min_uv_forecast","max_uv_forecast","min_high_temperature_forecast","max_high_temperature_forecast","min_low_temperature_forecast","max_low_temperature_forecast","solar_radiation","max_cloud_cover_4","avg_hourly_cloud_cover_4","avg_cloud_cover_4","min_cloud_cover_4","max_cloud_cover_8","avg_hourly_cloud_cover_8","avg_cloud_cover_8","min_cloud_cover_8","max_cloud_cover_10","avg_hourly_cloud_cover_10","avg_cloud_cover_10","min_cloud_cover_10"
"39","2021-12-09",6.2,2.77,3,-0.2,NA,NA,97,90.7,89.5,82,3.1,1.4,1.3,-0.5,18,10.62,10.5,3,33,32,101.59,101.23,101.32,101.06,101.54,101.18,101.28,101.01,48300,33716.7,33800,19300,2.7,2.1,2,1.3,15,0,0,0,0,0.6,0.6,0,NA,"07:56:00","16:14:00",8.3,7.93,16.23,NA,NA,5,5,1,1,NA,NA,NA,NA,NA,8,6,5,2,NA,NA,NA,NA
"40","2021-12-08",8.4,4.72,4.35,0.3,NA,-3,93,81.2,79.5,66,6.7,1.7,2.8,-1.1,48,21.79,25,2,65,28,101.33,101.08,100.93,100.53,101.28,101.03,100.88,100.48,48300,35333.3,33800,19300,2.9,2.1,2.2,1.5,13.7,0,0,0,0,0,0,0,NA,"07:55:00","16:15:00",8.33,7.92,16.25,1,1,7,7,1,2,NA,NA,NA,NA,NA,8,4,5,2,NA,NA,NA,NA
"41","2021-12-07",7,5.15,4.75,2.5,NA,NA,99,98.2,97,95,7.8,4.9,5.3,2.9,26,11.79,14.5,3,36,8,101.76,101.42,101.17,100.59,101.71,101.36,101.12,100.54,32200,10600,17700,3200,2.3,1.6,1.7,1.1,13.2,0,0,0,0,3.4,3.4,0,NA,"07:54:00","16:15:00",8.35,7.9,16.25,NA,NA,6,6,6,6,NA,NA,NA,NA,NA,8,8,8,8,NA,NA,NA,NA
"42","2021-12-06",3.8,2.13,1.95,0.1,NA,NA,98,95.7,94,90,3.1,1.5,1.6,0,15,8.96,8,1,NA,NA,102.63,101.89,102.13,101.63,102.58,101.84,102.08,101.58,32200,16179.2,17700,3200,2.6,1.8,1.8,1,16.1,0,0,0,0,6.2,3.8,2.4,1,"07:53:00","16:15:00",8.37,7.88,16.25,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,8,7.9,6.5,5,NA,NA,NA,NA
"43","2021-12-05",4.4,1.83,0.95,-2.5,NA,-5,97,85.4,83.5,70,0.5,-0.4,-1.2,-3,13,8.25,8,3,42,29,103.63,103.25,103.19,102.75,103.58,103.2,103.14,102.7,40200,34525,32150,24100,2.1,1.5,1.6,1,17.1,0,0,0,0,0,0,0,NA,"07:51:00","16:15:00",8.4,7.85,16.25,1,1,4,4,0,0,NA,NA,NA,NA,NA,8,6,4,0,NA,NA,NA,NA
"44","2021-12-04",5.2,3.36,3.45,1.7,NA,NA,94,86,85.5,77,3,1.2,1.4,-0.1,32,14.71,16.5,1,43,29,102.87,102.13,102.34,101.81,102.82,102.08,102.29,101.76,40200,25337.5,24950,9700,3,1.8,2,1,14.6,0,0,0,0,2.7,2.7,0,NA,"07:50:00","16:16:00",8.43,7.83,16.27,NA,NA,5,5,-1,-1,NA,NA,NA,NA,NA,8,5.6,4,0,NA,NA,NA,NA
"45","2021-12-03",6.3,2.7,2.2,-1.9,NA,-4,98,85.7,84,70,1.7,0.5,-0.2,-2.1,25,11.42,13,1,32,29,102.97,102.6,102.48,101.99,102.92,102.55,102.43,101.94,48300,34520.8,36200,24100,6,1.7,3.5,1,15.8,0,0,0,0,0,0,0,NA,"07:49:00","16:16:00",8.45,7.82,16.27,1,1,5,6,1,1,NA,NA,NA,NA,NA,8,6.2,4,0,NA,NA,NA,NA
"46","2021-12-02",10.4,5.98,6.1,1.8,NA,NA,93,79.1,79,65,7.3,2.6,3.1,-1,45,29.58,24,3,58,28,102.96,102.53,102.47,101.98,102.91,102.48,102.42,101.93,48300,33779.2,35400,22500,2.6,2.1,1.9,1.2,11.9,0,1.1,0,0,0,0,0,NA,"07:48:00","16:17:00",8.48,7.8,16.28,1,1,7,7,1,1,NA,NA,NA,NA,NA,8,5,4,0,NA,NA,NA,NA
"47","2021-12-01",12.5,11.31,10.65,8.8,NA,NA,97,91,84.5,72,10.8,9.9,8,5.2,38,21.46,21,4,56,16,101.98,101.77,101.79,101.6,101.93,101.72,101.74,101.55,48300,33791.7,35400,22500,2.2,1.8,1.6,1,7.3,0,5.7,3.6,0.6,1.7,1.7,0,NA,"07:46:00","16:17:00",8.52,7.77,16.28,NA,NA,11,11,4,4,NA,NA,NA,NA,NA,8,8,8,8,NA,NA,NA,NA
"48","2021-11-30",11.1,10.3,10.25,9.4,NA,NA,98,95.9,94,90,10.5,9.7,9.7,8.8,31,20.38,20.5,10,43,13,102,101.93,101.93,101.86,101.95,101.88,101.88,101.81,32200,22716.7,18500,4800,2.6,1.9,2,1.3,7.8,0,5.2,3.2,0.2,16.5,16.5,0,NA,"07:45:00","16:18:00",8.55,7.75,16.3,NA,NA,10,10,10,10,NA,NA,NA,NA,NA,8,8,8,8,NA,NA,NA,NA
